Date,Price,Open,High,Low,Volume,Change %
17/10/2022,"5,100.00","5,100.00","5,200.00","4,900.00",857.08K,0.00%
14/10/2022,"5,100.00","4,600.00","5,300.00","4,600.00",984.21K,0.00%
13/10/2022,"5,100.00","5,100.00","5,200.00","5,000.00",526.10K,0.00%
12/10/2022,"5,100.00","4,900.00","5,200.00","4,800.00",739.57K,4.08%
11/10/2022,"4,900.00","5,400.00","5,400.00","4,900.00",1.59M,-9.26%
10/10/2022,"5,400.00","5,400.00","5,500.00","5,000.00",1.04M,0.00%
7/10/2022,"5,400.00","6,000.00","6,000.00","5,400.00",2.19M,-8.47%
6/10/2022,"5,900.00","6,300.00","6,300.00","5,900.00",951.90K,-6.35%
5/10/2022,"6,300.00","6,000.00","6,400.00","6,000.00",1.05M,3.28%
4/10/2022,"6,100.00","6,000.00","6,300.00","5,800.00",1.47M,3.39%
3/10/2022,"5,900.00","6,400.00","6,500.00","5,900.00",1.17M,-7.81%
30/09/2022,"6,400.00","6,500.00","6,500.00","6,100.00",1.60M,-1.54%
29/09/2022,"6,500.00","6,700.00","6,900.00","6,500.00",818.93K,-2.99%
28/09/2022,"6,700.00","6,800.00","6,800.00","6,600.00",1.09M,-1.47%
27/09/2022,"6,800.00","6,900.00","7,000.00","6,800.00",699.57K,-1.45%
26/09/2022,"6,900.00","7,200.00","7,300.00","6,800.00",1.84M,-4.17%
23/09/2022,"7,200.00","6,600.00","7,200.00","6,500.00",3.22M,9.09%
22/09/2022,"6,600.00","6,500.00","6,600.00","6,300.00",1.19M,1.54%
21/09/2022,"6,500.00","6,400.00","6,600.00","6,400.00",684.09K,0.00%
20/09/2022,"6,500.00","6,400.00","6,500.00","6,300.00",1.26M,3.17%
19/09/2022,"6,300.00","6,900.00","7,000.00","6,300.00",2.30M,-8.70%
16/09/2022,"6,900.00","7,200.00","7,200.00","6,900.00",2.03M,-4.17%
15/09/2022,"7,200.00","7,300.00","7,300.00","7,100.00",1.34M,0.00%
14/09/2022,"7,200.00","7,300.00","7,300.00","7,100.00",1.63M,-2.70%
13/09/2022,"7,400.00","7,500.00","7,500.00","7,300.00",731.64K,-1.33%
12/9/2022,"7,500.00","7,500.00","7,600.00","7,400.00",976.11K,1.35%
9/9/2022,"7,400.00","7,400.00","7,500.00","7,200.00",2.05M,0.00%
8/9/2022,"7,400.00","7,600.00","7,700.00","7,300.00",2.09M,-2.63%
7/9/2022,"7,600.00","7,800.00","7,900.00","7,600.00",2.68M,-2.56%
6/9/2022,"7,800.00","7,900.00","8,000.00","7,800.00",1.75M,-1.27%
5/9/2022,"7,900.00","8,000.00","8,100.00","7,900.00",730.82K,-1.25%
31/08/2022,"8,000.00","8,000.00","8,000.00","7,800.00",2.03M,0.00%
30/08/2022,"8,000.00","8,000.00","8,100.00","7,900.00",1.22M,0.00%
29/08/2022,"8,000.00","8,100.00","8,200.00","7,800.00",3.44M,-2.44%
26/08/2022,"8,200.00","8,400.00","8,400.00","8,100.00",2.30M,-2.38%
25/08/2022,"8,400.00","8,300.00","8,500.00","8,300.00",2.68M,1.20%
24/08/2022,"8,300.00","8,200.00","8,300.00","8,000.00",1.99M,1.22%
23/08/2022,"8,200.00","8,100.00","8,200.00","7,900.00",2.86M,1.23%
22/08/2022,"8,100.00","8,300.00","8,300.00","8,000.00",2.35M,-1.22%
19/08/2022,"8,200.00","8,200.00","8,300.00","8,100.00",2.89M,0.00%
18/08/2022,"8,200.00","8,300.00","8,300.00","8,100.00",2.09M,-1.20%
17/08/2022,"8,300.00","8,300.00","8,500.00","8,200.00",2.39M,0.00%
16/08/2022,"8,300.00","8,600.00","8,600.00","8,200.00",3.01M,-2.35%
15/08/2022,"8,500.00","8,600.00","8,700.00","8,400.00",2.01M,-1.16%
12/8/2022,"8,600.00","8,600.00","8,600.00","8,300.00",2.04M,1.18%
11/8/2022,"8,500.00","8,900.00","9,100.00","8,500.00",5.53M,-3.41%
10/8/2022,"8,800.00","9,000.00","9,000.00","8,700.00",3.05M,-2.22%
9/8/2022,"9,000.00","8,800.00","9,200.00","8,700.00",6.83M,3.45%
8/8/2022,"8,700.00","8,600.00","8,900.00","8,500.00",4.02M,2.35%
5/8/2022,"8,500.00","8,500.00","8,900.00","8,400.00",6.35M,1.19%
4/8/2022,"8,400.00","8,500.00","8,600.00","8,400.00",2.09M,0.00%
3/8/2022,"8,400.00","8,400.00","8,600.00","8,400.00",1.40M,-1.18%
2/8/2022,"8,500.00","8,100.00","8,700.00","8,000.00",5.20M,6.25%
1/8/2022,"8,000.00","8,000.00","8,100.00","7,900.00",1.78M,0.00%
29/07/2022,"8,000.00","8,200.00","8,200.00","8,000.00",992.10K,-1.23%
28/07/2022,"8,100.00","8,200.00","8,300.00","8,000.00",1.50M,0.00%
27/07/2022,"8,100.00","7,800.00","8,100.00","7,700.00",1.46M,2.53%
26/07/2022,"7,900.00","8,300.00","8,300.00","7,900.00",2.37M,-4.82%
25/07/2022,"8,300.00","8,300.00","8,500.00","8,100.00",2.45M,0.00%
22/07/2022,"8,300.00","8,500.00","8,700.00","8,200.00",2.04M,-2.35%
21/07/2022,"8,500.00","8,600.00","8,900.00","8,400.00",3.38M,0.00%
20/07/2022,"8,500.00","8,300.00","9,100.00","8,300.00",6.93M,2.41%
19/07/2022,"8,300.00","8,300.00","8,400.00","8,200.00",446.36K,0.00%
18/07/2022,"8,300.00","8,300.00","8,400.00","8,200.00",452.40K,0.00%
15/07/2022,"8,300.00","8,300.00","8,500.00","8,300.00",847.73K,0.00%
14/07/2022,"8,300.00","8,300.00","8,300.00","8,100.00",257.82K,-1.19%
13/07/2022,"8,400.00","8,200.00","8,400.00","8,200.00",530.00K,3.70%
12/7/2022,"8,100.00","8,000.00","8,200.00","8,000.00",460.97K,1.25%
11/7/2022,"8,000.00","8,000.00","8,200.00","8,000.00",367.96K,0.00%
8/7/2022,"8,000.00","7,800.00","8,100.00","7,800.00",273.14K,2.56%
7/7/2022,"7,800.00","7,800.00","7,900.00","7,700.00",177.91K,1.30%
6/7/2022,"7,700.00","8,000.00","8,000.00","7,700.00",403.94K,-3.75%
5/7/2022,"8,000.00","8,200.00","8,200.00","7,800.00",234.40K,-2.44%
4/7/2022,"8,200.00","8,200.00","8,400.00","8,100.00",182.55K,1.23%
1/7/2022,"8,100.00","8,100.00","8,200.00","7,800.00",431.75K,0.00%
30/06/2022,"8,100.00","8,600.00","8,600.00","8,100.00",443.10K,-5.81%
29/06/2022,"8,600.00","8,700.00","8,800.00","8,500.00",253.26K,-1.15%
28/06/2022,"8,700.00","8,500.00","8,800.00","8,300.00",587.71K,3.57%
27/06/2022,"8,400.00","8,200.00","8,500.00","8,200.00",225.42K,2.44%
24/06/2022,"8,200.00","8,100.00","8,400.00","8,000.00",397.99K,1.23%
23/06/2022,"8,100.00","8,100.00","8,300.00","7,900.00",197.12K,0.00%
