Date,Price,Open,High,Low,Volume,Change %
8/24/2022,"90,200","90,200","90,200","90,200",0.40K,0.00%
8/23/2022,"90,200","90,000","90,200","90,000",3.70K,0.22%
8/22/2022,"90,000","90,000","90,100","90,000",14.10K,-1.10%
8/18/2022,"91,000","91,000","91,000","90,000",1.52K,0.55%
8/17/2022,"90,500","90,100","90,500","90,100",3.00K,0.33%
8/16/2022,"90,200","91,900","91,900","90,000",6.10K,-0.33%
8/15/2022,"90,500","90,500","90,500","90,100",4.10K,0.56%
8/12/2022,"90,000","90,000","90,000","90,000",25.00K,0.00%
8/11/2022,"90,000","91,000","93,500","90,000",4.00K,0.00%
8/10/2022,"90,000","90,000","90,100","90,000",4.40K,0.00%
8/9/2022,"90,000","90,000","90,000","90,000",17.70K,0.00%
8/8/2022,"90,000","90,000","90,000","90,000",8.50K,0.33%
8/5/2022,"89,700","90,000","90,000","87,000",10.71K,-0.33%
8/4/2022,"90,000","90,100","90,100","90,000",5.60K,0.00%
8/2/2022,"90,000","90,100","90,100","90,000",0.90K,-0.55%
8/1/2022,"90,500","90,100","90,500","90,000",4.60K,0.56%
7/29/2022,"90,000","90,500","90,500","90,000",0.50K,-0.55%
7/28/2022,"90,500","90,500","90,500","90,100",4.10K,0.56%
7/27/2022,"90,000","90,000","90,000","90,000",2.40K,0.00%
7/26/2022,"90,000","90,500","90,500","90,000",5.00K,-0.55%
7/25/2022,"90,500","91,000","92,100","90,500",2.80K,-7.65%
7/22/2022,"98,000","98,000","98,000","98,000",0.10K,6.52%
7/20/2022,"92,000","98,000","98,000","90,000",19.30K,0.00%
7/19/2022,"92,000","98,000","98,000","92,000",0.20K,-6.12%
7/15/2022,"98,000","98,000","98,000","98,000",0.23K,6.41%
7/14/2022,"92,100","92,100","92,100","92,100",0.10K,0.11%
7/13/2022,"92,000","92,000","92,000","92,000",0.71K,-1.08%
7/12/2022,"93,000","92,000","93,500","92,000",28.60K,1.09%
7/11/2022,"92,000","91,000","92,000","91,000",1.50K,0.00%
7/8/2022,"92,000","92,000","92,500","91,500",7.80K,1.10%
7/7/2022,"91,000","91,000","92,000","91,000",2.30K,-1.09%
