Date,Price,Open,High,Low,Volume,Change %
24/02/2020,"15,706.70","15,543.10","15,870.30","15,543.10",123.49K,1.27%
21/02/2020,"15,510.40","15,804.90","15,804.90","15,477.70",43.92K,0.42%
20/02/2020,"15,444.90","15,706.70","15,837.60","15,444.90",61.04K,-0.63%
19/02/2020,"15,543.10","15,608.60","15,608.60","15,477.70",109.51K,0.00%
18/02/2020,"15,543.10","15,575.80","15,706.70","15,444.90",65.65K,0.00%
17/02/2020,"15,543.10","15,837.60","15,837.60","15,543.10",22.65K,-0.42%
14/02/2020,"15,608.60","15,968.50","15,968.50","15,543.10",50.26K,0.21%
13/02/2020,"15,575.80","15,543.10","15,772.20","15,543.10",58.37K,-0.83%
12/2/2020,"15,706.70","15,903.10","16,033.90","15,543.10",89.87K,-1.03%
11/2/2020,"15,870.30","16,033.90","16,361.20","15,706.70",68.01K,-1.42%
10/2/2020,"16,099.40","15,772.20","16,328.40","15,772.20",126.38K,2.29%
7/2/2020,"15,739.40","16,066.70","16,066.70","15,641.30",82.57K,1.05%
6/2/2020,"15,575.80","16,132.10","16,197.60","15,444.90",273.51K,-3.45%
5/2/2020,"16,132.10","17,342.80","17,342.80","15,903.10",124.29K,-6.98%
4/2/2020,"17,342.80","19,927.90","19,960.60","17,342.80",158.44K,-9.86%
3/2/2020,"19,240.70","18,324.50","19,240.70","18,291.80",641.45K,9.91%
31/01/2020,"17,506.40","15,935.80","17,506.40","15,935.80",390.02K,9.86%
30/01/2020,"15,935.80","15,772.20","16,328.40","15,706.70",28.15K,1.46%
22/01/2020,"15,706.70","15,706.70","15,804.90","15,674.00",21.84K,0.00%
21/01/2020,"15,706.70","15,706.70","16,001.20","15,543.10",33.12K,1.05%
20/01/2020,"15,543.10","15,641.30","16,033.90","15,412.20",19.04K,-1.04%
17/01/2020,"15,706.70","15,706.70","15,706.70","15,412.20",9.38K,0.00%
16/01/2020,"15,706.70","15,641.30","15,706.70","15,641.30",3.36K,0.00%
15/01/2020,"15,706.70","15,543.10","15,706.70","15,543.10",12.49K,0.63%
14/01/2020,"15,608.60","15,804.90","15,903.10","15,608.60",16.59K,-1.65%
13/01/2020,"15,870.30","16,295.70","16,295.70","15,870.30",0.84K,0.41%
10/1/2020,"15,804.90","15,870.30","15,870.30","15,804.90",12.66K,-1.23%
9/1/2020,"16,001.20","16,099.40","16,099.40","15,706.70",11.83K,1.66%
8/1/2020,"15,739.40","15,903.10","15,903.10","15,706.70",17.36K,0.21%
7/1/2020,"15,706.70","15,968.50","15,968.50","15,575.80",22.40K,-0.21%
6/1/2020,"15,739.40","16,230.30","16,230.30","15,706.70",12.60K,-0.82%
3/1/2020,"15,870.30","15,772.20","15,870.30","15,674.00",26.99K,0.00%
2/1/2020,"15,870.30","16,132.10","16,132.10","15,706.70",27.72K,-0.21%
31/12/2019,"15,903.10","15,706.70","16,230.30","15,706.70",12.50K,0.21%
30/12/2019,"15,870.30","16,295.70","16,655.70","15,772.20",10.42K,-0.82%
27/12/2019,"16,001.20","16,263.00","16,263.00","16,001.20",19.68K,0.20%
26/12/2019,"15,968.50","15,641.30","16,328.40","15,641.30",69.33K,2.52%
25/12/2019,"15,575.80","15,870.30","16,033.90","15,379.50",37.80K,-0.63%
24/12/2019,"15,674.00","15,575.80","17,113.80","15,575.80",18.48K,0.63%
23/12/2019,"15,575.80","15,543.10","15,641.30","15,444.90",30.52K,-0.83%
20/12/2019,"15,706.70","15,837.60","15,968.50","15,444.90",70.63K,-0.83%
19/12/2019,"15,837.60","16,263.00","16,263.00","15,706.70",26.88K,0.83%
18/12/2019,"15,706.70","16,361.20","16,361.20","15,706.70",26.04K,-3.23%
17/12/2019,"16,230.30","16,197.60","16,557.50","15,772.20",22.43K,0.00%
16/12/2019,"16,230.30","16,230.30","16,328.40","15,477.70",155.96K,-0.20%
13/12/2019,"16,263.00","16,033.90","16,361.20","16,033.90",54.04K,-0.60%
12/12/2019,"16,361.20","16,197.60","16,361.20","16,033.90",12.04K,-0.20%
11/12/2019,"16,393.90","16,361.20","16,492.10","16,197.60",34.16K,-0.20%
10/12/2019,"16,426.60","16,459.30","16,590.20","16,132.10",70.84K,0.00%
9/12/2019,"16,426.60","16,622.90","16,622.90","16,197.60",18.54K,-0.79%
6/12/2019,"16,557.50","16,655.70","16,655.70","16,230.30",33.04K,0.00%
5/12/2019,"16,557.50","16,361.20","16,688.40","16,295.70",28.14K,0.80%
4/12/2019,"16,426.60","16,361.20","16,786.60","16,263.00",38.92K,-1.38%
3/12/2019,"16,655.70","16,982.90","16,982.90","16,230.30",21.98K,1.80%
2/12/2019,"16,361.20","16,688.40","17,310.10","16,361.20",29.68K,-1.77%
29/11/2019,"16,655.70","16,688.40","18,160.90","16,655.70",76.44K,0.79%
28/11/2019,"16,524.80","16,950.20","16,950.20","16,164.80",38.14K,-0.79%
27/11/2019,"16,655.70","16,688.40","16,982.90","16,230.30",107.81K,-2.12%
26/11/2019,"17,015.60","17,211.90","17,310.10","16,622.90",31.36K,0.00%
