"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2022","110,000","107,700","110,400","107,700","3.30K","2.14%"
"03/31/2022","107,700","107,500","107,800","107,200","5.20K","0.19%"
"03/30/2022","107,500","107,500","108,000","107,500","3.02K","0.47%"
"03/29/2022","107,000","108,800","108,800","107,000","5.10K","0.00%"
"03/28/2022","107,000","110,500","110,500","106,000","3.80K","-2.46%"
"03/25/2022","109,700","110,300","110,300","109,700","0.50K","-0.54%"
"03/24/2022","110,300","110,500","110,500","110,000","3.71K","-4.91%"
"03/23/2022","116,000","116,000","116,000","116,000","5.60K","0.00%"
"03/22/2022","116,000","116,200","116,400","116,000","6.82K","0.00%"
"03/21/2022","116,000","114,500","116,500","114,000","19.23K","1.67%"
"03/18/2022","114,100","114,100","115,000","114,100","1.34K","0.09%"
"03/17/2022","114,000","115,000","115,000","114,000","1.11K","0.00%"
"03/16/2022","114,000","114,600","114,700","114,000","1.61K","-0.52%"
"03/15/2022","114,600","113,500","119,900","113,000","2.20K","-0.09%"
"03/14/2022","114,700","114,000","114,700","112,500","4.60K","0.00%"
"03/11/2022","114,700","119,400","119,400","114,500","1.01K","-3.94%"
"03/10/2022","119,400","120,600","120,600","119,400","0.30K","0.25%"
"03/08/2022","119,100","120,000","123,800","119,000","3.41K","4.02%"
"03/07/2022","114,500","114,000","114,500","114,000","1.70K","0.79%"
"03/04/2022","113,600","114,000","114,000","113,600","0.30K","-0.35%"
"03/03/2022","114,000","114,000","114,000","114,000","1.10K","1.15%"
"03/02/2022","112,700","112,900","112,900","112,700","0.92K","-0.27%"
"03/01/2022","113,000","113,000","113,000","113,000","0.13K","0.00%"
"02/28/2022","113,000","113,000","113,000","113,000","0.65K","-0.88%"
"02/25/2022","114,000","111,000","114,000","111,000","2.20K","1.79%"
"02/24/2022","112,000","112,000","112,000","112,000","0.50K","0.00%"
"02/23/2022","112,000","112,000","112,000","112,000","0.10K","1.82%"
"02/21/2022","110,000","110,000","110,000","110,000","0.10K","3.77%"
"02/15/2022","106,000","106,000","106,000","106,000","0.10K","-3.64%"
"02/14/2022","110,000","110,000","110,000","110,000","0.50K","0.00%"
"02/08/2022","110,000","109,900","110,000","109,900","0.31K","0.09%"
"02/07/2022","109,900","109,900","109,900","109,900","0.10K","0.00%"
"01/28/2022","109,900","105,000","110,000","105,000","0.31K","-0.09%"
"01/26/2022","110,000","110,000","110,000","110,000","0.40K","-0.81%"
"01/21/2022","110,900","110,900","110,900","110,900","0.35K","2.69%"
"01/20/2022","108,000","108,000","108,000","108,000","0.10K","0.00%"
"01/19/2022","108,000","108,000","108,000","108,000","0.10K","0.00%"
"01/18/2022","108,000","108,000","108,000","108,000","0.40K","-4.26%"
"01/17/2022","112,800","114,000","114,000","105,100","0.45K","-1.05%"
"01/14/2022","114,000","114,000","114,000","114,000","0.10K","9.62%"
"01/13/2022","104,000","110,000","114,000","104,000","8.20K","-5.45%"
"01/10/2022","110,000","110,100","116,000","105,200","3.40K","-5.17%"
"01/05/2022","116,000","116,000","116,000","116,000","0.10K","0.00%"
"01/04/2022","116,000","104,800","116,000","104,800","2.51K","2.65%"
"12/28/2021","113,000","113,000","113,000","113,000","0.22K","0.00%"
"12/27/2021","113,000","113,000","113,000","113,000","0.70K","2.73%"
"12/23/2021","110,000","110,000","110,000","110,000","0.20K","-2.65%"
"12/22/2021","113,000","110,000","113,000","110,000","1.10K","1.25%"
"12/21/2021","111,600","111,600","111,600","111,600","0.20K","-0.80%"
"12/17/2021","112,500","110,000","112,500","110,000","0.42K","-3.02%"
"12/16/2021","116,000","116,000","116,000","116,000","0.13K","0.87%"
"12/15/2021","115,000","115,000","115,000","115,000","0.20K","0.00%"
"12/14/2021","115,000","113,000","115,000","113,000","1.00K","1.77%"
"12/10/2021","113,000","112,500","113,000","112,500","0.50K","0.00%"
"12/09/2021","113,000","113,000","113,000","113,000","1.30K","0.00%"
"12/08/2021","113,000","113,000","113,000","113,000","0.20K","0.44%"
"12/07/2021","112,500","112,500","112,500","112,000","0.30K","0.00%"
"12/06/2021","112,500","112,600","112,600","112,500","0.40K","-0.09%"
"12/03/2021","112,600","112,800","112,800","112,600","0.50K","-0.18%"
"12/02/2021","112,800","112,800","112,800","112,800","0.40K","-3.59%"
"11/29/2021","117,000","117,000","117,000","117,000","0.40K","0.00%"
"11/26/2021","117,000","114,800","117,000","114,800","2.70K","1.92%"
"11/25/2021","114,800","115,000","115,000","114,800","1.34K","0.17%"
"11/24/2021","114,600","114,600","116,000","114,500","8.00K","0.09%"
"11/23/2021","114,500","114,900","114,900","114,500","10.18K","-0.35%"
"11/22/2021","114,900","114,900","114,900","114,900","6.51K","0.00%"
"11/19/2021","114,900","103,500","117,500","103,500","1.40K","0.00%"
"11/18/2021","114,900","115,100","115,100","114,900","1.20K","-0.09%"
"11/17/2021","115,000","115,100","116,500","115,000","4.53K","0.00%"
"11/16/2021","115,000","115,000","115,000","115,000","0.10K","-3.36%"
"11/12/2021","119,000","104,100","119,000","104,100","0.30K","2.94%"
"11/11/2021","115,600","115,600","115,600","115,000","4.11K","0.00%"
"11/10/2021","115,600","104,200","115,600","104,200","3.20K","0.00%"
"11/09/2021","115,600","115,600","115,600","115,600","0.60K","9.99%"
"11/08/2021","105,100","105,100","105,100","105,100","0.10K","-9.47%"
"11/04/2021","116,100","104,400","116,100","104,400","0.51K","0.09%"
"11/03/2021","116,000","116,000","116,000","115,500","0.40K","-1.61%"
"11/01/2021","117,900","116,000","117,900","116,000","0.42K","1.64%"
"10/29/2021","116,000","116,000","116,000","116,000","1.00K","0.00%"
"10/28/2021","116,000","116,000","116,000","116,000","0.10K","0.00%"
"10/27/2021","116,000","116,000","116,000","116,000","0.32K","0.00%"
"10/26/2021","116,000","116,000","116,000","116,000","0.10K","0.00%"
"10/25/2021","116,000","116,000","116,000","115,800","1.60K","0.00%"
"10/22/2021","116,000","114,000","116,000","114,000","0.20K","0.00%"
"10/20/2021","116,000","113,000","119,000","112,600","0.60K","0.87%"
"10/19/2021","115,000","132,000","132,000","115,000","0.20K","-4.17%"
"10/15/2021","120,000","126,500","126,500","118,000","3.76K","4.35%"
"10/14/2021","115,000","115,000","115,000","115,000","0.20K","-0.86%"
"10/13/2021","116,000","116,000","116,000","116,000","0.30K","0.00%"
"10/12/2021","116,000","116,000","116,000","116,000","1.00K","-1.53%"
"10/11/2021","117,800","117,800","117,800","117,800","0.10K","0.68%"
"10/08/2021","117,000","117,000","117,000","117,000","0.20K","0.00%"
"10/07/2021","117,000","117,900","117,900","117,000","1.02K","-0.76%"
"10/05/2021","117,900","117,900","117,900","117,900","0.40K","-0.08%"
"10/04/2021","118,000","118,000","118,000","118,000","1.30K","0.00%"
"10/01/2021","118,000","118,000","118,000","118,000","0.20K","1.29%"
"09/29/2021","116,500","116,500","116,500","116,500","0.10K","0.00%"
"09/28/2021","116,500","116,500","116,500","116,500","0.10K","-1.10%"
"09/27/2021","117,800","118,000","118,000","117,800","0.80K","-0.17%"
