"Date","Price","Open","High","Low","Vol.","Change %"
"05/21/2021","116,000","115,000","116,000","115,000","18.51K","0.87%"
"05/20/2021","115,000","115,000","115,000","114,000","10.30K","0.00%"
"05/19/2021","115,000","104,100","115,000","104,100","2.30K","0.00%"
"05/18/2021","115,000","115,000","115,000","115,000","2.10K","0.00%"
"05/17/2021","115,000","115,000","115,000","114,100","4.22K","0.00%"
"05/14/2021","115,000","115,000","115,000","113,100","6.40K","0.00%"
"05/13/2021","115,000","113,000","115,000","113,000","1.13K","2.31%"
"05/12/2021","112,400","112,000","112,400","112,000","0.50K","1.26%"
"05/11/2021","111,000","111,000","111,000","111,000","0.27K","0.45%"
"05/10/2021","110,500","103,500","118,000","103,500","5.60K","-3.91%"
"05/07/2021","115,000","115,000","115,500","115,000","2.20K","-0.86%"
"05/06/2021","116,000","115,000","116,000","115,000","3.11K","-0.77%"
"05/05/2021","116,900","102,600","117,000","102,600","2.75K","2.54%"
"05/04/2021","114,000","115,100","115,100","114,000","3.80K","-0.87%"
"04/29/2021","115,000","115,000","115,000","115,000","","-1.71%"
"04/28/2021","117,000","114,000","117,000","113,000","1.32K","2.63%"
"04/27/2021","114,000","114,000","114,000","113,000","2.30K","0.00%"
"04/26/2021","114,000","113,000","116,900","113,000","3.20K","0.88%"
"04/23/2021","113,000","117,500","117,500","112,500","2.00K","-3.42%"
"04/22/2021","117,000","118,200","118,200","117,000","4.41K","-1.02%"
"04/20/2021","118,200","120,000","120,000","118,200","1.60K","0.17%"
"04/19/2021","118,000","120,000","120,000","117,000","4.91K","-1.67%"
"04/16/2021","120,000","120,000","120,000","118,100","1.90K","-0.17%"
"04/15/2021","120,200","120,000","120,200","120,000","1.11K","0.25%"
"04/14/2021","119,900","121,000","125,000","119,800","5.07K","-0.91%"
"04/13/2021","121,000","124,400","124,400","121,000","2.00K","-2.73%"
"04/12/2021","124,400","124,500","125,000","124,300","6.44K","-0.08%"
"04/09/2021","124,500","124,600","128,000","124,500","12.71K","0.00%"
"04/08/2021","124,500","124,500","124,500","124,500","1.71K","0.08%"
"04/07/2021","124,400","125,400","126,000","123,000","1.68K","-0.80%"
"04/06/2021","125,400","126,000","126,000","125,400","1.90K","-0.48%"
"04/05/2021","126,000","126,000","127,500","125,500","3.51K","-1.25%"
"04/02/2021","127,600","126,500","130,000","124,000","3.50K","0.08%"
"04/01/2021","127,500","122,000","128,000","122,000","3.63K","-1.16%"
"03/31/2021","129,000","129,100","129,100","119,000","7.20K","-0.08%"
"03/30/2021","129,100","130,400","132,300","129,000","8.61K","-3.66%"
"03/29/2021","134,000","134,100","135,500","133,100","6.30K","-2.47%"
"03/26/2021","137,400","142,000","142,000","134,900","6.95K","-4.25%"
"03/25/2021","143,500","143,000","143,500","142,000","14.91K","0.35%"
"03/24/2021","143,000","144,400","144,400","142,200","18.94K","0.00%"
"03/23/2021","143,000","142,600","143,600","142,000","12.20K","0.28%"
"03/22/2021","142,600","138,300","144,000","138,300","10.13K","3.18%"
"03/19/2021","138,200","140,000","140,000","138,200","6.01K","-0.86%"
"03/18/2021","139,400","138,600","140,000","138,300","10.60K","-0.78%"
"03/17/2021","140,500","141,000","141,000","139,800","8.53K","0.36%"
"03/16/2021","140,000","140,000","141,000","138,000","6.80K","0.07%"
"03/15/2021","139,900","142,000","143,900","137,500","15.59K","0.00%"
"03/12/2021","139,900","148,000","148,000","137,000","17.50K","-5.47%"
"03/11/2021","148,000","148,000","159,700","148,000","24.95K","1.93%"
"03/10/2021","145,200","138,000","145,200","138,000","35.40K","10.00%"
"03/09/2021","132,000","123,800","132,000","123,800","28.08K","10.00%"
"03/08/2021","120,000","116,900","123,500","116,900","1.05K","5.08%"
"03/05/2021","114,200","114,000","114,200","114,000","0.42K","-0.70%"
"03/04/2021","115,000","114,300","115,000","114,200","1.20K","0.88%"
"03/03/2021","114,000","114,000","114,000","114,000","1.02K","-0.87%"
"03/02/2021","115,000","112,200","115,000","112,000","1.70K","2.50%"
"03/01/2021","112,200","112,000","115,000","112,000","0.61K","0.18%"
"02/26/2021","112,000","113,000","113,000","112,000","1.70K","1.82%"
