"Date","Price","Open","High","Low","Vol.","Change %"
"02/24/2023","14,464.3","14,642.9","14,642.9","14,392.9","22.45K","-1.22%"
"02/23/2023","14,642.9","15,000.0","15,000.0","14,464.3","48.16K","0.00%"
"02/22/2023","14,642.9","14,750.0","14,892.9","14,607.1","47.32K","-0.73%"
"02/21/2023","14,750.0","14,857.1","14,857.1","14,607.1","52.08K","-0.48%"
"02/20/2023","14,821.4","14,714.3","15,000.0","14,571.4","121.24K","0.73%"
"02/17/2023","14,714.3","14,928.6","14,928.6","14,535.7","21.37K","0.00%"
"02/16/2023","14,714.3","14,571.4","14,821.4","14,464.3","142.80K","2.49%"
"02/15/2023","14,357.1","15,821.4","15,821.4","14,357.1","39.48K","-1.47%"
"02/14/2023","14,571.4","14,464.3","14,714.3","14,214.3","73.75K","0.74%"
"02/13/2023","14,464.3","14,928.6","15,214.3","14,285.7","86.52K","0.00%"
"02/10/2023","14,464.3","13,857.1","14,821.4","13,857.1","265.33K","4.11%"
"02/09/2023","13,892.9","13,892.9","13,892.9","13,714.3","51.52K","0.00%"
"02/08/2023","13,892.9","13,642.9","13,892.9","13,392.9","36.77K","1.04%"
"02/07/2023","13,750.0","13,464.3","13,750.0","13,464.3","18.48K","0.00%"
"02/06/2023","13,750.0","13,892.9","13,892.9","13,285.7","160.44K","0.00%"
"02/03/2023","13,750.0","13,928.6","13,928.6","13,750.0","0.56K","1.32%"
"02/02/2023","13,571.4","13,857.1","13,857.1","13,571.4","13.16K","-2.06%"
"02/01/2023","13,857.1","14,107.1","14,107.1","13,642.9","62.44K","1.57%"
"01/31/2023","13,642.9","14,107.1","14,107.1","13,642.9","20.72K","-2.05%"
"01/30/2023","13,928.6","13,750.0","14,107.1","13,607.1","53.76K","0.26%"
"01/27/2023","13,892.9","13,821.4","14,107.1","13,678.6","17.36K","1.57%"
"01/19/2023","13,678.6","13,714.3","13,714.3","13,392.9","14.56K","0.79%"
"01/18/2023","13,571.4","13,392.9","13,571.4","13,392.9","24.61K","0.26%"
